site_name,sub_location,rating,reviewers_amount,price,breakfast,free_cancellation,pets,wifi,kitchen,parking,air_conditioning
Hotel La Scaletta,Florence,8.6,1,2566,0,1,1.0,0.0,1.0,1.0,1.0
Enjoy Home,Sorrento,8.7,31,2872,0,1,0.0,1.0,1.0,0.0,1.0
Hotel Berlino,Milan,8.1,1,2657,0,0,0.0,1.0,1.0,1.0,1.0
"Casa Colbert, Barolo",Barolo,9.6,23,2825,0,1,0.0,1.0,1.0,1.0,1.0
"Villa Sassolini Luxury Boutique Hotel, The Originals Collection",Montevarchi,8.8,76,4667,0,0,1.0,1.0,1.0,0.0,1.0
Quarenghi16,Bergamo,9.3,396,2066,0,1,0.0,1.0,1.0,1.0,1.0
Hotel Edelweiss,Breuil-Cervinia,8.9,111,3685,0,0,1.0,1.0,0.0,1.0,1.0
Hotel Conca d'Oro,Positano,8.6,661,4389,1,0,0.0,1.0,0.0,1.0,1.0
Viktory Rooms,Bolzano,5.7,120,959,0,1,1.0,0.0,0.0,0.0,1.0
Garni Bergblick,Braies,9.5,406,2298,1,1,1.0,1.0,0.0,1.0,1.0
Hotel Ulivi,Paratico,8.8,648,2652,1,0,1.0,1.0,0.0,1.0,1.0
Molino Della Lodola,Rapolano Terme,8.8,150,2034,0,0,0.0,1.0,0.0,1.0,1.0
Apartments Windegg,Caldaro,9.7,31,3889,0,1,0.0,1.0,1.0,1.0,1.0
Hotel Europa,Pozza di Fassa,8.2,267,1864,0,1,0.0,1.0,0.0,1.0,1.0
Habitat Guest House,Trento,9.0,252,1223,0,1,0.0,1.0,1.0,0.0,1.0
Verona Maison,Verona,8.2,605,1658,0,0,0.0,1.0,1.0,0.0,1.0
Hotel Iris Venice,Venice,5.6,324,1373,0,0,1.0,1.0,1.0,1.0,1.0
Hotel Morgana,Marina di Carrara,7.9,252,1610,1,0,,,,,
Casa Ortensia,Pellizzano,8.9,40,1436,1,0,,,,,
ALGHERO SEASIDE - Self Check-in,Alghero,8.9,278,1167,0,1,,,,,
Parggenhof,San Candido,9.5,125,1396,0,1,,,,,
Regina Elena,Naples,8.6,410,2124,1,1,,,,,
Hotel Villa Liberty,Florence,7.7,1,1734,0,1,,,,,
Dealuna Motel,Fidenza,8.3,391,1517,0,1,,,,,
Casa Belvedere,Cuneo,9.1,37,1396,0,1,,,,,
